w,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,SYMBOL,OPEN,HIGH,LOW,PREV.,CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)
VALUE
(₹","Lakhs)
52W",H,52W,L,TODAY
0,NIFTY,50,"8,889.15","8,982.35","8,875.35","8,879.10","8,976.05",96.95,1.09,"13,83,82,736","6,91,807.61","12,430.50","7,511.10",,
0,LT,800.00,823.15,800.00,796.35,822.90,26.55,3.33,"11,65,123","9,481.89","1,607.00",661.00,,,
0,UPL,339.05,357.15,336.00,339.65,350.40,10.75,3.17,"54,84,652","19,274.71",709.05,240.15,,,
0,TATASTEEL,272.00,281.25,270.10,272.00,280.05,8.05,2.96,"37,65,001","10,465.20",518.60,250.85,,,
0,BPCL,294.00,303.00,292.05,293.30,301.80,8.50,2.90,"13,80,640","4,134.05",549.00,252.00,,,
0,ITC,171.95,176.70,171.00,170.75,175.65,4.90,2.87,"79,95,653","13,990.79",310.00,134.60,,,
0,CIPLA,597.00,611.15,595.40,594.95,"610.40
15.45",2.60,"27,93,488","16,930.21",632.65,355.30,,,,
0,GAIL,81.85,84.40,81.30,81.85,83.85,2.00,2.44,"25,83,428","2,157.94",182.70,65.00,,,
0,ZEEL,150.45,154.65,149.35,150.25,153.85,3.60,2.40,"38,93,399","5,977.54",405.20,114.00,,,
0,SHREECEM,"18,351.05","18,781.95","18,351.05","18,340.75","18,706.90",366.15,2.00,"12,683","2,366.11","25,355.00","15,410.00",,,
0,JSWSTEEL,169.30,173.00,168.30,169.30,172.60,3.30,1.95,"16,29,966","2,796.70",297.50,132.50,,,
0,NESTLEIND,"16,241.00","16,459.50","16,151.00","16,150.30","16,455.05",304.75,1.89,"29,204","4,772.55","18,369.95","10,493.95",,,
0,GRASIM,511.00,524.50,507.00,511.85,521.50,9.65,1.89,"4,09,595","2,128.58",959.80,385.05,,,
0,RELIANCE,"1,410.00","1,438.80","1,393.00","1,408.90","1,435.45",26.55,1.88,"91,69,837","1,30,079.64","1,601.53",866.98,,,
0,BRITANNIA,"3,110.60","3,159.00","3,106.85","3,104.00","3,155.10",51.10,1.65,"1,31,323","4,121.30","3,583.75","2,100.00",,,
0,HDFC,"1,550.00","1,575.50","1,547.05","1,539.85","1,563.05
23.20",1.51,"10,59,836","16,576.89","2,499.90","1,473.45",,,,
0,TATAMOTORS,81.25,83.35,80.70,81.80,83.00,1.20,1.47,"1,00,85,563","8,333.70",201.70,63.50,,,
0,IOC,72.35,73.30,71.90,72.05,"73.10
1.05",1.46,"24,88,307","1,812.73",170.75,71.15,,,,
0,HINDALCO,117.30,119.30,116.25,117.30,119.00,1.70,1.45,"18,42,107","2,180.87",221.20,84.90,,,
0,ONGC,77.20,78.45,76.30,77.15,78.25,1.10,1.43,"36,89,656","2,860.59",178.90,50.00,,,
0,BAJAJFINSV,"4,548.00","4,620.00","4,521.45","4,535.45","4,600.00",64.55,1.42,"1,36,993","6,271.98","9,950.00","4,160.25",,,
0,ULTRACEMCO,"3,449.95","3,521.95","3,445.00","3,438.15","3,484.20",46.05,1.34,"1,29,661","4,526.48","4,904.95","2,910.00",,,
0,SUNPHARMA,439.90,448.80,437.25,441.70,447.50,5.80,1.31,"15,18,245","6,755.13",504.80,312.00,,,
