,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,SYMBOL,OPEN,HIGH,LOW,PREV.,CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)
VALUE
(₹","Lakhs)
52W",H,52W,L,TODAY
0,NIFTY,50,"9,067.90","9,149.60","8,968.55","9,106.25","9,023.45",-82.80,-0.91,"33,87,11,960","14,68,059.30","12,430.50","7,511.10",,
0,ZEEL,153.60,161.65,152.00,153.95,159.50,5.55,3.61,"1,66,95,577","26,557.65",405.20,114.00,,,
0,INFY,675.00,692.75,673.50,672.20,692.20,20.00,2.98,"57,45,744","39,368.11",847.00,509.25,,,
0,INFRATEL,202.00,212.55,200.05,205.85,211.10,5.25,2.55,"53,13,101","10,951.36",296.50,120.05,,,
0,ASIANPAINT,"1,568.80","1,613.70","1,555.40","1,574.30","1,610.05",35.75,2.27,"25,58,701","40,689.23","1,916.70","1,291.25",,,
0,BRITANNIA,"3,104.00","3,152.00","3,080.00","3,110.95","3,151.50",40.55,1.30,"2,20,897","6,911.80","3,583.75","2,100.00",,,
0,BPCL,311.00,317.80,307.25,313.20,316.50,3.30,1.05,"27,02,531","8,432.17",549.00,252.00,,,
0,DRREDDY,"3,840.60","3,892.00","3,811.00","3,847.50","3,888.00
40.50",1.05,"4,15,098","15,972.81","4,132.20","2,351.20",,,,
0,TECHM,517.10,527.95,515.10,520.05,524.05,4.00,0.77,"14,92,974","7,830.65",845.90,471.40,,,
0,UPL,366.75,373.25,362.70,366.80,368.95,2.15,0.59,"38,88,676","14,351.94",709.05,240.15,,,
0,TCS,"1,977.10","2,008.60","1,961.25","1,991.20","2,000.15",8.95,0.45,"14,66,133","29,177.66","2,296.20","1,506.05",,,
0,ULTRACEMCO,"3,550.00","3,668.00","3,530.00","3,571.50","3,580.10",8.60,0.24,"5,58,409","20,217.37","4,904.95","2,910.00",,,
0,RELIANCE,"1,451.80","1,458.00","1,435.55","1,441.25","1,443.95",2.70,0.19,"92,54,250","1,34,042.26","1,601.53",866.98,,,
0,SBIN,152.00,155.60,149.45,151.95,"152.15
0.20",0.13,"5,42,49,668","82,654.79",373.80,149.45,,,,
0,TITAN,844.90,853.90,837.90,849.85,849.75,-0.10,-0.01,"8,53,465","7,222.11","1,389.95",720.90,,,
0,HINDUNILVR,"1,975.00","1,983.00","1,958.00","1,970.90","1,969.90",-1.00,-0.05,"14,60,275","28,766.40","2,614.30","1,659.05",,,
0,CIPLA,616.70,619.65,610.10,616.60,"616.25
-0.35",-0.06,"23,15,089","14,250.07",632.65,355.30,,,,
0,BHARTIARTL,597.00,597.40,587.00,594.55,"594.00
-0.55",-0.09,"45,89,706","27,146.73",612.00,321.15,,,,
0,SHREECEM,"19,019.00","19,474.20","18,803.20","19,251.15","19,185.00",-66.15,-0.34,"28,004","5,371.56","25,355.00","15,410.00",,,
