,Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,Unnamed: 10
0,500247,KOTAKBANK,A,1320.0,1352.55,1299.4,1343.2,56675895,703339.21,30968,
1,506395,COROMANDEL,A,646.2,657.2,617.65,640.05,9264331,58394.81,35667,
2,500034,BAJFINANCE,A,2185.0,2374.9,2162.5,2346.7,846447,19207.9,54512,
3,532822,IDEA,A,6.65,7.87,6.61,7.73,126797062,9330.09,289417,
4,500112,SBIN,A,170.3,171.25,167.25,170.25,4434379,7500.53,22093,
5,532187,INDUSINDBK,A,413.9,438.65,404.5,434.85,1737591,7341.71,26946,
6,500180,HDFCBANK,A,988.0,1005.0,975.4,1000.9,685663,6813.27,20510,
7,500325,RELIANCE,A,1521.0,1540.0,1521.0,1536.1,418550,6413.42,22789,
8,500570,TATAMOTORS,A,89.4,97.3,89.4,96.5,6287956,5931.84,22353,
9,532215,AXISBANK,A,396.75,414.6,391.85,409.9,1428955,5747.82,25049,
10,532174,ICICIBANK,A,337.1,350.0,332.45,348.5,1659289,5689.46,19292,
11,532454,BHARTIARTL,A,563.1,572.1,556.25,558.0,863673,4871.97,18414,
12,532978,BAJAJFINSV,A,4845.0,5235.55,4746.2,5186.3,96741,4849.92,14456,
13,500010,HDFC,A,1735.1,1821.7,1732.05,1814.75,247471,4410.84,15676,
14,532500,MARUTI,A,5781.25,5848.0,5624.85,5687.95,71859,4110.86,11857,
15,517334,MOTHERSUMI,A,97.35,105.5,94.2,101.9,3695984,3666.47,16816,
16,505537,ZEEL,A,186.8,202.8,185.7,199.05,1785045,3490.72,14124,
17,500470,TATASTEEL,A,317.3,323.2,314.7,319.3,992819,3170.83,11199,
18,500510,LT,A,930.0,952.5,913.35,945.4,283269,2649.27,12896,
19,524715,SUNPHARMA*,A,471.0,480.95,469.25,473.2,508566,2421.95,11724,
20,532720,M&MFIN,A,147.95,152.7,146.2,151.45,1469116,2210.98,11427,
21,531642,MARICO,A,338.25,345.0,330.0,330.75,615834,2048.96,3812,
22,500209,INFY,A,699.9,711.65,698.3,708.05,288345,2038.41,6704,
23,511218,SRTRANSFIN,A,580.0,592.7,563.35,587.1,351306,2031.9,10160,
24,505200,EICHERMOT,A,17450.0,17505.95,16976.35,17405.55,11453,1976.34,4191,
25,540065,RBLBANK,A,129.55,130.25,125.0,127.1,1545217,1974.11,10872,
26,500087,CIPLA,A,648.95,658.25,636.25,637.45,301936,1950.87,5983,
27,500302,PEL,A,1113.0,1194.0,1103.3,1179.25,169354,1943.84,11325,
28,500875,ITC,A,201.8,201.8,196.75,197.2,973789,1939.39,9739,
29,532296,GLENMARK,A,372.7,393.25,372.5,388.75,480065,1859.87,11186,
30,511243,CHOLAFIN,A,154.0,159.7,153.05,157.85,1110280,1741.81,16960,
31,532898,POWERGRID,A,159.5,168.3,158.7,164.95,1065473,1727.49,5913,
32,533519,L&TFH,A,58.7,60.9,57.25,60.55,2618953,1558.7,7736,
33,500400,TATAPOWER,A,41.05,42.85,40.55,42.5,3729775,1551.77,7316,
34,532540,TCS,A,2054.9,2081.0,2040.0,2046.9,74927,1541.77,6887,
35,500124,DRREDDY,A,3950.8,4007.25,3888.4,3896.9,38802,1531.64,3271,
36,532523,BIOCON,A,389.8,395.9,381.4,382.7,393075,1527.48,6989,
37,500182,HEROMOTOCO,A,2368.0,2390.7,2284.3,2321.4,64272,1500.83,5927,
38,500257,LUPIN,A,856.0,874.0,852.05,870.9,172770,1498.64,5330,
39,519183,ADFFOODS,B,275.3,282.4,273.0,276.75,544656,1492.94,506,
