Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
500247,KOTAKBANK,A,1320.00,1352.55,1299.40,1343.20,56675895,703339.21,30968,
506395,COROMANDEL,A,646.20,657.20,617.65,640.05,9264331,58394.81,35667,
500034,BAJFINANCE,A,2185.00,2374.90,2162.50,2346.70,846447,19207.90,54512,
532822,IDEA,A,6.65,7.87,6.61,7.73,126797062,9330.09,289417,
500112,SBIN,A,170.30,171.25,167.25,170.25,4434379,7500.53,22093,
532187,INDUSINDBK,A,413.90,438.65,404.50,434.85,1737591,7341.71,26946,
500180,HDFCBANK,A,988.00,1005.00,975.40,1000.90,685663,6813.27,20510,
500325,RELIANCE,A,1521.00,1540.00,1521.00,1536.10,418550,6413.42,22789,
500570,TATAMOTORS,A,89.40,97.30,89.40,96.50,6287956,5931.84,22353,
532215,AXISBANK,A,396.75,414.60,391.85,409.90,1428955,5747.82,25049,
532174,ICICIBANK,A,337.10,350.00,332.45,348.50,1659289,5689.46,19292,
532454,BHARTIARTL,A,563.10,572.10,556.25,558.00,863673,4871.97,18414,
532978,BAJAJFINSV,A,4845.00,5235.55,4746.20,5186.30,96741,4849.92,14456,
500010,HDFC,A,1735.10,1821.70,1732.05,1814.75,247471,4410.84,15676,
532500,MARUTI,A,5781.25,5848.00,5624.85,5687.95,71859,4110.86,11857,
517334,MOTHERSUMI,A,97.35,105.50,94.20,101.90,3695984,3666.47,16816,
505537,ZEEL,A,186.80,202.80,185.70,199.05,1785045,3490.72,14124,
500470,TATASTEEL,A,317.30,323.20,314.70,319.30,992819,3170.83,11199,
500510,LT,A,930.00,952.50,913.35,945.40,283269,2649.27,12896,
524715,SUNPHARMA*,A,471.00,480.95,469.25,473.20,508566,2421.95,11724,
532720,M&MFIN,A,147.95,152.70,146.20,151.45,1469116,2210.98,11427,
531642,MARICO,A,338.25,345.00,330.00,330.75,615834,2048.96,3812,
500209,INFY,A,699.90,711.65,698.30,708.05,288345,2038.41,6704,
511218,SRTRANSFIN,A,580.00,592.70,563.35,587.10,351306,2031.90,10160,
505200,EICHERMOT,A,17450.00,17505.95,16976.35,17405.55,11453,1976.34,4191,
540065,RBLBANK,A,129.55,130.25,125.00,127.10,1545217,1974.11,10872,
500087,CIPLA,A,648.95,658.25,636.25,637.45,301936,1950.87,5983,
500302,PEL,A,1113.00,1194.00,1103.30,1179.25,169354,1943.84,11325,
500875,ITC,A,201.80,201.80,196.75,197.20,973789,1939.39,9739,
532296,GLENMARK,A,372.70,393.25,372.50,388.75,480065,1859.87,11186,
511243,CHOLAFIN,A,154.00,159.70,153.05,157.85,1110280,1741.81,16960,
532898,POWERGRID,A,159.50,168.30,158.70,164.95,1065473,1727.49,5913,
533519,L&TFH,A,58.70,60.90,57.25,60.55,2618953,1558.70,7736,
500400,TATAPOWER,A,41.05,42.85,40.55,42.50,3729775,1551.77,7316,
532540,TCS,A,2054.90,2081.00,2040.00,2046.90,74927,1541.77,6887,
500124,DRREDDY,A,3950.80,4007.25,3888.40,3896.90,38802,1531.64,3271,
532523,BIOCON,A,389.80,395.90,381.40,382.70,393075,1527.48,6989,
500182,HEROMOTOCO,A,2368.00,2390.70,2284.30,2321.40,64272,1500.83,5927,
500257,LUPIN,A,856.00,874.00,852.05,870.90,172770,1498.64,5330,
519183,ADFFOODS,B,275.30,282.40,273.00,276.75,544656,1492.94,506,
541153,BANDHANBNK,A,228.10,243.80,223.40,240.50,629273,1483.96,7398,
500495,ESCORTS,A,977.95,977.95,950.20,958.45,153748,1482.41,4857,
500696,HINDUNILVR,A,2120.00,2125.80,2094.25,2107.30,70001,1478.55,5923,
524804,AUROPHARMA,A,726.90,757.10,725.60,733.90,195128,1441.62,4360,
533278,COALINDIA,A,149.00,149.20,143.05,143.40,971810,1401.98,7287,
532286,JINDALSTEL,A,130.00,131.25,127.10,129.35,1049234,1356.13,5203,
500114,TITAN,A,958.00,983.55,947.00,975.75,130923,1271.45,5902,
500295,VEDL,A,94.25,97.20,93.70,96.85,1319648,1267.35,4742,
500043,BATAINDIA,A,1405.80,1438.95,1405.80,1433.70,88609,1262.89,5995,
500520,M&M,A,462.20,478.95,461.00,462.50,265480,1240.49,5872,
500477,ASHOKLEY,A,46.75,48.15,45.40,47.70,2571142,1211.03,5719,
539448,INDIGO,A,950.00,963.70,935.15,945.55,126231,1198.68,6520,
500825,BRITANNIA,A,3449.00,3479.55,3400.50,3450.30,34421,1189.95,2639,
532432,UNITDSPR,B,593.90,593.90,571.70,573.25,199794,1151.60,5539,
512070,UPL,A,421.30,428.95,415.00,424.85,266168,1128.37,6585,
500253,LICHSGFIN,A,252.00,258.45,250.60,253.50,444111,1127.71,6684,
500493,BHARATFORG,A,338.90,341.85,332.25,333.80,330479,1111.50,5831,
532155,GAIL,A,93.80,97.10,91.00,96.65,1109754,1051.45,4668,
535648,JUSTDIAL,A,392.00,414.00,384.05,410.30,250872,1014.43,4937,
500101,ARVIND,A,32.60,36.20,31.40,36.20,2946289,999.90,5683,
543066,SBICARD,B,552.70,572.90,552.70,569.95,169812,959.20,11867,
540777,HDFCLIFE,A,515.00,522.00,497.35,499.55,189106,954.85,6794,
532868,DLF,A,153.70,158.95,150.60,157.40,616914,951.48,4499,
500271,MFSL,A,482.50,487.35,457.00,463.65,201604,945.04,6954,
532343,TVSMOTOR,A,351.00,372.75,344.75,364.25,256373,935.50,7308,
532488,DIVISLAB,A,2508.00,2537.70,2400.00,2410.80,37336,922.62,3206,
532134,BANKBARODA,A,42.70,43.10,41.35,42.10,2191254,922.19,15002,
500469,FEDERALBNK,A,47.00,48.05,45.95,47.65,1931865,912.18,5510,
530965,IOC,A,86.25,86.95,84.75,85.75,1063432,911.02,4920,
532321,CADILAHC,A,351.70,364.30,351.05,353.05,253372,908.85,6679,
500878,CEATLTD,A,845.00,893.00,845.00,887.95,104134,908.50,2813,
535789,IBULHSGFIN,A,128.80,130.20,124.75,126.85,703862,894.38,7012,
500408,TATAELXSI,A,781.00,934.05,781.00,820.05,105375,874.13,4955,
500575,VOLTAS,A,577.00,577.00,536.40,557.80,156668,861.94,4430,
500820,ASIANPAINT,A,1693.50,1732.35,1681.45,1709.85,49661,852.24,3576,
500228,JSWSTEEL,A,194.50,197.70,190.45,192.25,439239,847.91,5449,
532689,PVR,A,981.00,981.00,953.40,972.05,86891,839.18,4102,
539957,MGL,A,985.00,985.00,947.00,966.35,86294,831.07,3557,
532977,BAJAJ-AUTO,A,2757.05,2813.80,2725.70,2795.75,29913,829.22,3441,
532538,ULTRACEMCO,A,3815.00,3854.95,3772.00,3833.30,21286,811.93,2727,
532555,NTPC,A,99.20,99.20,96.05,96.75,817786,793.84,3258,
532531,STAR,A,403.70,421.00,399.50,409.60,190987,789.39,3933,
500790,NESTLEIND,A,17432.00,17432.00,16980.00,17020.90,4493,768.54,2158,
532483,CANBK,A,92.50,94.60,90.80,92.15,826669,764.11,3915,
500547,BPCL,A,347.50,347.70,337.50,341.65,216663,740.34,4246,
500104,HINDPETRO,A,196.70,196.85,192.40,193.75,380063,738.80,3413,
500440,HINDALCO,A,142.50,143.50,138.90,141.15,515074,726.34,4031,
532819,MINDTREE,A,899.90,943.00,891.20,920.45,78424,724.30,2743,
532509,SUPRAJIT,A,112.90,123.40,112.90,121.85,617289,707.12,1252,
524164,IOLCP,B,379.00,397.75,370.00,390.00,178359,689.45,5890,
500103,BHEL,A,28.00,28.55,27.45,28.00,2461678,689.21,3673,
532733,SUNTV,A,415.00,424.80,405.35,415.05,164030,680.09,3387,
532424,GODREJCP,A,637.00,647.00,632.35,639.15,105597,676.45,3218,
540376,DMART,A,2315.00,2390.00,2291.00,2381.15,28735,673.40,4532,
532281,HCLTECH,A,557.00,567.65,550.50,560.50,119816,672.59,3467,
507685,WIPRO,A,215.50,218.35,211.20,215.90,310319,670.48,2754,
539874,UJJIVAN,A,181.60,191.80,177.90,189.25,351046,648.77,4696,
517354,HAVELLS,A,544.00,553.30,536.85,549.40,118693,647.14,3236,
533155,JUBLFOOD,A,1675.00,1712.40,1652.85,1700.40,36826,621.04,2255,
500008,AMARAJABAT,A,663.00,678.00,655.15,664.90,92617,617.24,2839,
500116,IDBI,A,25.90,29.20,25.75,28.95,2185112,606.18,4795,
521070,ALOKTEXT,B,20.45,20.45,20.45,20.45,2943388,601.92,1566,
539844,EQUITAS,A,46.00,48.70,45.10,48.00,1204193,573.75,4250,
534816,INFRATEL,A,229.90,229.90,222.50,223.25,251746,569.38,3260,
