Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
532822,IDEA,A,9.26,9.49,9.06,9.28,63558677,5924.00,64150,
500325,RELIANCE,A,1601.90,1617.70,1584.15,1593.00,261434,4189.00,11557,
532454,BHARTIARTL,A,590.00,590.00,569.30,570.85,659435,3811.00,11726,
500034,BAJFINANCE,A,2342.00,2366.05,2275.10,2288.00,157536,3661.00,10234,
500112,SBIN,A,176.85,180.90,176.00,178.25,1559928,2787.00,9452,
500298,NATPEROX,X,2103.80,2308.70,2103.80,2206.35,110947,2482.00,9380,
532187,INDUSINDBK,A,419.95,427.20,411.30,414.00,512724,2155.00,8205,
500180,HDFCBANK,A,1003.00,1025.30,1002.35,1012.85,159735,1625.00,4762,
500470,TATASTEEL,A,324.90,335.50,324.85,332.90,485163,1609.00,5601,
500570,TATAMOTORS,A,100.90,104.15,99.60,103.45,1462436,1501.00,6196,
524715,SUNPHARMA*,A,500.00,508.80,498.25,503.25,279747,1413.00,4767,
505537,ZEEL,A,209.40,210.30,202.30,205.00,663077,1369.00,5968,
532215,AXISBANK,A,399.70,402.45,390.60,392.80,335247,1332.00,5756,
532174,ICICIBANK,A,349.90,354.60,347.30,348.80,347685,1219.00,4454,
532286,JINDALSTEL,A,138.90,144.40,138.65,141.75,839260,1187.00,5191,
500228,JSWSTEEL,A,196.00,201.20,194.60,198.70,594577,1182.00,4648,
539450,SHK,A,68.40,70.00,67.25,67.70,1758913,1150.00,1489,
532868,DLF,A,150.35,154.40,148.85,152.25,747438,1133.00,4816,
500010,HDFC,A,1774.10,1788.15,1744.60,1752.60,61038,1078.00,3360,
542830,IRCTC,B,1459.00,1482.00,1435.80,1453.90,73617,1075.00,4794,
539448,INDIGO,A,1120.00,1152.85,1120.00,1140.00,90506,1028.00,4573,
500510,LT,A,937.50,964.90,937.50,947.95,105846,1008.00,4145,
532500,MARUTI,A,5725.10,5777.00,5671.60,5692.00,16676,955.00,2423,
532689,PVR,A,1087.00,1133.00,1087.00,1118.35,79674,884.00,5775,
500247,KOTAKBANK,A,1341.00,1358.00,1325.05,1327.25,63392,851.00,3771,
500440,HINDALCO,A,144.00,151.00,143.65,148.80,539687,800.00,4176,
532540,TCS,A,2093.90,2094.95,2040.90,2056.50,38201,785.00,3593,
532488,DIVISLAB,A,2444.00,2457.15,2418.15,2424.00,31768,775.00,535,
523261,VENKYS,A,1054.95,1213.00,1045.00,1174.00,62968,733.00,5642,
532978,BAJAJFINSV,A,5160.00,5250.00,5098.00,5136.60,13324,691.00,2110,
503806,SRF,A,3785.00,3785.00,3655.00,3688.40,18587,689.00,2022,
512070,UPL,A,423.00,441.95,423.00,435.05,157638,687.00,3531,
511218,SRTRANSFIN,A,620.00,625.00,600.25,602.80,107007,656.00,3227,
500257,LUPIN,A,917.50,923.55,908.05,915.00,69592,636.00,2780,
532129,HEXAWARE,A,261.10,311.30,261.10,311.30,207569,625.00,3522,
532538,ULTRACEMCO,A,3831.00,3928.50,3821.80,3875.35,15364,596.00,1778,
532296,GLENMARK,A,400.90,413.50,398.80,403.70,146262,595.00,3100,
532348,SUBEX,T,7.99,7.99,7.43,7.43,7697243,580.00,269,
540065,RBLBANK,A,122.50,125.65,122.50,123.65,428018,533.00,3247,
500547,BPCL,A,355.00,362.40,352.15,359.85,148737,532.00,2109,
500696,HINDUNILVR,A,2121.00,2130.00,2087.30,2094.70,24022,505.00,2083,
500820,ASIANPAINT,A,1654.00,1658.80,1622.85,1626.50,30234,495.00,1999,
500302,PEL,A,1084.00,1129.55,1084.00,1116.50,42450,472.00,2304,
534816,INFRATEL,A,227.75,233.15,223.60,232.10,193590,442.00,2169,
500330,RAYMOND,A,277.50,299.05,276.45,287.85,153567,441.00,3830,
524804,AUROPHARMA,A,765.00,775.70,757.70,761.50,57566,441.00,1430,
500295,VEDL,A,105.30,105.50,102.95,103.65,414631,432.00,2154,
500400,TATAPOWER,A,44.10,44.10,42.80,43.05,970190,421.00,2197,
500477,ASHOKLEY,A,46.80,47.85,45.60,46.90,871385,409.00,2024,
541153,BANDHANBNK,A,236.00,241.60,234.05,236.55,171567,409.00,1751,
500825,BRITANNIA,A,3480.00,3480.70,3401.50,3424.00,11794,405.00,1109,
500113,SAIL,A,31.30,32.70,31.30,32.45,1199089,385.00,4915,
500480,CUMMINSIND,A,379.00,395.75,377.00,389.65,98414,378.00,2209,
535789,IBULHSGFIN,A,130.00,130.70,127.00,127.50,290416,374.00,2566,
505200,EICHERMOT,A,17540.00,17622.95,17312.90,17367.85,2133,373.00,704,
500285,SPICEJET,A,49.70,51.45,48.00,51.45,738687,372.00,2074,
532755,TECHM,A,589.00,593.50,582.60,588.00,61879,363.00,1789,
500020,BOMDYEING,A,61.00,66.45,60.00,63.60,560634,360.00,4990,
500116,IDBI,A,36.25,38.40,35.80,38.00,954475,359.00,1943,
500087,CIPLA,A,663.00,669.65,656.80,660.00,53579,355.00,1189,
540376,DMART,A,2430.00,2501.05,2430.00,2475.10,14036,347.00,1822,
521070,ALOKTEXT,B,23.60,23.60,23.60,23.60,1437538,339.00,874,
530965,IOC,A,86.50,87.85,86.25,87.35,364726,318.00,1393,
500495,ESCORTS,A,984.00,988.50,969.50,972.85,31514,308.00,1471,
500103,BHEL,A,27.00,27.55,26.95,27.20,1118401,304.00,3521,
500209,INFY,A,708.00,708.00,702.85,704.50,43120,303.00,1168,
532134,BANKBARODA,A,43.40,44.05,43.15,43.40,690342,301.00,2268,
532523,BIOCON,A,398.00,400.35,392.15,394.75,75122,297.00,1136,
532541,NIITTECH,A,1415.00,1517.60,1415.00,1481.75,19537,292.00,1769,
532281,HCLTECH,A,583.00,586.50,573.00,578.50,49697,288.00,1026,
533273,OBEROIRLTY,A,371.00,384.00,369.50,373.80,75637,287.00,270,
540777,HDFCLIFE,A,519.40,520.20,512.00,513.70,55493,286.00,1964,
